xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y
40,145,108,201,100.86405992208772,4.365000247955322,59,244,-12,155,-31,57,6,254,75,36,113,234
40,144,107,203,100.20397372173169,0.0,58,244,-12,154,-29,54,5,254,76,35,111,235
278,367,126,200,67.77496954888643,0.4410000145435333,240,460,220,343,258,250,182,436,375,299,299,484
41,146,107,203,100.20397372173169,0.0,59,246,-11,156,-29,56,6,256,75,36,112,236
39,146,110,199,97.48088617952367,0.0,52,245,-15,153,-28,54,-3,252,82,40,107,238
40,145,110,198,97.55634405643946,0.0,53,243,-14,152,-28,54,-1,251,81,39,108,236
38,146,109,198,96.91122711902469,0.0,50,245,-16,153,-28,54,-4,252,82,41,105,238
41,144,106,202,100.30484646876603,0.0,59,243,-10,153,-28,54,7,253,75,35,112,234
38,145,110,199,97.48088617952367,4.335000038146973,51,244,-15,153,-28,54,-3,252,80,39,106,237
40,144,108,203,100.75796708839,0.0,59,244,-12,154,-31,54,6,254,75,34,113,234
39,146,110,199,97.48088617952367,0.0,52,245,-15,153,-28,54,-3,252,82,40,107,238
39,145,108,197,96.98105740682979,3.8960001468658447,51,243,-14,151,-26,53,-3,250,82,41,105,237
40,145,107,202,100.75796708839,0.0,59,245,-12,155,-30,55,6,255,75,36,112,235
40,145,108,195,96.98105740682979,0.0,52,243,-14,152,-26,55,-2,250,83,42,106,236
41,146,107,202,100.30484646876603,0.0,59,245,-11,155,-29,56,6,255,75,37,112,236
39,146,108,197,97.55634405643946,0.0,52,244,-14,153,-27,55,-2,251,81,41,106,237
40,145,108,198,96.91122711902469,0.0,52,244,-14,152,-26,53,-2,251,82,40,106,237
40,145,108,198,96.98105740682979,0.0,52,243,-13,151,-25,53,-2,250,83,40,106,237
40,145,107,197,96.91122711902469,0.0,52,244,-13,152,-26,54,-1,251,81,41,106,237
40,145,108,203,100.20397372173169,0.0,58,245,-13,155,-31,55,5,255,76,35,112,235
43,147,118,192,97.1250163489018,0.0,55,243,-15,155,-27,59,-4,251,91,45,114,236
43,146,114,191,97.79207807821844,0.0,56,241,-14,154,-27,59,-1,249,87,44,113,234
39,145,109,205,101.20079778788444,0.0,59,246,-13,156,-33,55,6,257,73,34,113,236
38,146,109,199,96.91122711902469,0.0,50,245,-16,153,-28,54,-4,252,81,41,105,239
279,369,125,202,70.30797876126347,0.4390000104904175,245,464,220,348,255,253,186,443,373,296,304,486
39,145,109,200,96.91122711902469,3.997000217437744,51,244,-15,151,-28,52,-3,251,81,39,106,238
39,145,107,200,96.91122711902469,0.0,51,244,-14,151,-26,52,-2,251,81,39,105,238
38,145,110,200,97.48088617952367,0.0,51,244,-16,152,-29,53,-4,251,81,39,106,238
39,145,107,200,96.91122711902469,0.0,51,244,-14,151,-26,52,-2,251,81,39,105,238
39,145,109,199,96.91122711902469,4.493000030517578,51,244,-15,152,-27,53,-3,251,82,40,106,238
38,145,113,199,97.48088617952367,0.0,51,244,-18,153,-31,54,-5,252,82,39,108,237
39,145,109,198,97.55634405643946,0.0,52,243,-15,152,-28,54,-2,251,80,39,106,236
38,145,111,198,98.0490617016745,0.0,52,244,-16,153,-30,54,-3,252,80,40,107,237
43,147,115,192,97.19923363836764,0.0,55,242,-14,154,-27,59,-2,250,89,44,113,235
38,145,109,201,96.84277341263095,0.0,50,245,-15,152,-27,52,-4,252,81,39,105,239
